Monitoring htmz process (PID: 47752)
Time,RSS(MB),VSZ(MB),CPU%
14:11:27,15.0,401652.7,0.0
14:11:32,15.0,401652.7,0.0
14:11:37,35.8,401674.2,17.2
14:11:42,77.5,401720.3,59.0
14:11:47,99.0,401743.6,84.5
14:11:52,99.3,401743.6,88.6
14:11:57,99.3,401743.6,97.5
14:12:02,99.3,401743.6,90.3
14:12:07,99.3,401743.6,86.5
14:12:13,99.3,401743.6,93.2
14:12:18,99.3,401743.6,81.7
14:12:23,80.3,401743.6,89.8
14:12:28,80.3,401743.6,98.4
14:12:33,80.3,401743.6,75.8
14:12:38,80.3,401743.6,78.8
14:12:43,80.3,401743.6,86.4
14:12:48,77.7,401743.6,74.5
14:12:53,77.7,401743.6,70.2
14:12:58,77.7,401743.6,87.3
14:13:03,77.7,401743.6,91.1
14:13:08,77.7,401743.6,87.4
14:13:13,77.7,401743.6,83.3
14:13:18,77.7,401743.6,85.6
14:13:23,77.7,401743.6,64.7
14:13:28,77.7,401743.6,77.5
14:13:33,77.7,401743.6,83.7
14:13:38,77.7,401743.6,77.6
14:13:43,77.7,401743.6,89.9
14:13:48,77.7,401743.6,93.0
14:13:53,77.7,401743.6,91.7
14:13:58,77.7,401743.6,90.2
14:14:03,77.7,401743.6,86.3
14:14:08,77.7,401743.6,83.0
14:14:13,77.7,401743.6,86.4
14:14:18,77.4,401743.6,79.0
14:14:23,77.4,401743.6,86.7
14:14:28,77.4,401743.6,84.4
14:14:33,77.4,401743.6,76.0
14:14:38,77.4,401743.6,77.0
14:14:43,77.4,401743.6,77.0
14:14:48,77.4,401743.6,84.1
14:14:53,77.4,401743.6,102.2
14:14:58,77.4,401743.6,74.1
14:15:03,77.4,401743.6,104.4
14:15:08,77.4,401743.6,80.1
14:15:13,77.4,401743.6,89.2
14:15:18,77.4,401743.6,80.5
14:15:23,77.4,401743.6,100.2
14:15:28,77.4,401743.6,85.5
14:15:33,77.3,401743.6,94.0
14:15:38,77.3,401743.6,99.6
14:15:43,77.3,401743.6,87.4
14:15:48,77.3,401743.6,92.4
14:15:53,77.3,401743.6,75.2
14:15:58,77.3,401743.6,75.2
14:16:03,77.3,401743.6,94.7
14:16:08,77.3,401743.6,77.6
14:16:13,77.3,401743.6,97.7
14:16:18,77.3,401743.6,101.2
14:16:23,77.3,401743.6,92.7
14:16:28,77.3,401743.6,103.9
14:16:33,77.3,401743.6,100.5
14:16:38,77.3,401743.6,83.4
14:16:43,77.3,401743.6,66.0
14:16:48,77.3,401743.6,95.3
14:16:53,77.3,401743.6,91.4
14:16:58,77.3,401743.6,90.1
14:17:03,77.3,401743.6,85.4
14:17:08,77.3,401743.6,94.9
14:17:13,77.3,401743.6,75.8
14:17:18,77.3,401743.6,97.7
14:17:23,77.3,401743.6,70.2
14:17:28,77.3,401743.6,88.8
14:17:33,77.3,401743.6,86.3
14:17:38,77.3,401743.6,85.1
